"","WORD","LEMMA","XPOS"
"557","countered","counter","VBD"
"558","countered","counter","VBN"
"559","coupled","couple","VBN"
"560","courted","court","VBD"
"561","courted","court","VBN"
"562","covered","cover","VBD"
"563","covered","cover","VBN"
"564","coveted","covet","VBN"
"565","cracked","crack","VBD"
"566","cracked","crack","VBN"
"567","crafted","craft","VBD"
"568","crafted","craft","VBN"
"569","crashed","crash","VBD"
"570","created","create","VBD"
"571","created","create","VBN"
"572","credited","credit","VBD"
"573","credited","credit","VBN"
"574","crept","creep","VBD"
"575","crept","creep","VBN"
"576","crippled","cripple","VBN"
"577","criticized","criticize","VBD"
"578","criticized","criticize","VBN"
"579","crossed","cross","VBD"
"580","crossed","cross","VBN"
"581","crowded","crowd","VBD"
"582","crowded","crowd","VBN"
"583","crumbled","crumble","VBD"
"584","crumbled","crumble","VBN"
"585","crumpled","crumple","VBD"
"586","crumpled","crumple","VBN"
"587","crushed","crush","VBN"
"588","curbed","curb","VBD"
"589","curbed","curb","VBN"
"590","curtailed","curtail","VBD"
"591","curtailed","curtail","VBN"
"592","customized","customize","VBN"
"593","cut","cut","VBD"
"594","cut","cut","VBN"
"595","damaged","damage","VBD"
"596","damaged","damage","VBN"
"597","damped","damp","VBN"
"598","dashed","dash","VBD"
"599","dashed","dash","VBN"
"600","dated","date","VBN"
"601","dead","dead","VBN"
"602","deadlocked","deadlock","VBN"
"603","dealt","deal","VBD"
"604","dealt","deal","VBN"
"605","deceased","decease","VBN"
"606","decentralized","decentralize","VBN"
"607","decided","decide","VBD"
"608","decided","decide","VBN"
"609","declared","declare","VBD"
"610","declared","declare","VBN"
"611","declined","decline","VBD"
"612","declined","decline","VBN"
"613","decorated","decorate","VBN"
"614","decreased","decrease","VBD"
"615","decreased","decrease","VBN"
"616","decreed","decree","VBN"
"617","dedicated","dedicate","VBD"
"618","dedicated","dedicate","VBN"
"619","deemed","deem","VBD"
"620","deemed","deem","VBN"
"621","defaulted","default","VBD"
"622","defaulted","default","VBN"
"623","defeated","defeat","VBD"
"624","defeated","defeat","VBN"
"625","defended","defend","VBD"
"626","defended","defend","VBN"
"627","deferred","defer","VBN"
"628","defied","defy","VBD"
"629","defined","define","VBD"
"630","defined","define","VBN"
"631","deflated","deflate","VBD"
"632","deflated","deflate","VBN"
"633","defrauded","defraud","VBD"
"634","defrauded","defraud","VBN"
"635","degenerated","degenerate","VBD"
"636","degenerated","degenerate","VBN"
"637","delayed","delay","VBD"
"638","delayed","delay","VBN"
"639","deleted","delete","VBN"
"640","delighted","delight","VBD"
"641","delighted","delight","VBN"
"642","delivered","deliver","VBD"
"643","delivered","deliver","VBN"
"644","demanded","demand","VBD"
"645","demanded","demand","VBN"
"646","demolished","demolish","VBD"
"647","demolished","demolish","VBN"
"648","demonstrated","demonstrate","VBD"
"649","demonstrated","demonstrate","VBN"
"650","demoted","demote","VBN"
"651","denied","deny","VBD"
"652","denied","deny","VBN"
"653","denominated","denominate","VBN"
"654","denounced","denounce","VBD"
"655","denounced","denounce","VBN"
"656","departed","depart","VBD"
"657","depended","depend","VBD"
"658","depended","depend","VBN"
"659","depicted","depict","VBN"
"660","depleted","deplete","VBD"
"661","depleted","deplete","VBN"
"662","deployed","deploy","VBD"
"663","deployed","deploy","VBN"
"664","deposed","depose","VBN"
"665","depressed","depress","VBD"
"666","depressed","depress","VBN"
"667","deprived","deprive","VBD"
"668","deprived","deprive","VBN"
"669","derided","deride","VBD"
"670","derided","deride","VBN"
"671","derived","derive","VBD"
"672","derived","derive","VBN"
"673","described","describe","VBD"
"674","described","describe","VBN"
"675","designated","designate","VBN"
"676","designed","design","VBD"
"677","designed","design","VBN"
"678","desired","desire","VBD"
"679","desired","desire","VBN"
"680","destined","destine","VBN"
"681","destroyed","destroy","VBD"
"682","destroyed","destroy","VBN"
"683","detailed","detail","VBN"
"684","detained","detain","VBD"
"685","detained","detain","VBN"
"686","detected","detect","VBD"
"687","detected","detect","VBN"
"688","deteriorated","deteriorate","VBD"
"689","deteriorated","deteriorate","VBN"
"690","determined","determine","VBD"
"691","determined","determine","VBN"
"692","devalued","devalue","VBD"
"693","devalued","devalue","VBN"
"694","devastated","devastate","VBD"
"695","devastated","devastate","VBN"
"696","developed","develop","VBD"
"697","developed","develop","VBN"
"698","devised","devise","VBD"
"699","devised","devise","VBN"
"700","devoted","devote","VBD"
"701","devoted","devote","VBN"
"702","diagnosed","diagnose","VBD"
"703","diagnosed","diagnose","VBN"
"704","dictated","dictate","VBD"
"705","dictated","dictate","VBN"
"706","did","do","VBD"
"707","died","die","VBD"
"708","died","die","VBN"
"709","diluted","dilute","VBD"
"710","diluted","dilute","VBN"
"711","diminished","diminish","VBD"
"712","diminished","diminish","VBN"
"713","dined","dine","VBD"
"714","dined","dine","VBN"
"715","dipped","dip","VBD"
"716","dipped","dip","VBN"
"717","directed","direct","VBD"
"718","directed","direct","VBN"
"719","disabled","disable","VBN"
"720","disagreed","disagree","VBD"
"721","disagreed","disagree","VBN"
"722","disappeared","disappear","VBD"
"723","disappeared","disappear","VBN"
"724","disappointed","disappoint","VBD"
"725","disappointed","disappoint","VBN"
"726","disapproved","disapprove","VBD"
"727","disapproved","disapprove","VBN"
"728","disbursed","disburse","VBN"
"729","discarded","discard","VBD"
"730","discarded","discard","VBN"
"731","disciplined","discipline","VBD"
"732","disciplined","discipline","VBN"
"733","disclosed","disclose","VBD"
"734","disclosed","disclose","VBN"
"735","discontinued","discontinue","VBN"
"736","discounted","discount","VBD"
"737","discounted","discount","VBN"
"738","discouraged","discourage","VBD"
"739","discouraged","discourage","VBN"
"740","discovered","discover","VBD"
"741","discovered","discover","VBN"
"742","discredited","discredit","VBN"
"743","discussed","discuss","VBD"
"744","discussed","discuss","VBN"
"745","disenchanted","disenchant","VBN"
"746","disgruntled","disgruntle","VBN"
"747","disguised","disguise","VBN"
"748","disgusted","disgust","VBN"
"749","disinclined","disincline","VBN"
"750","dismantled","dismantle","VBN"
"751","dismayed","dismay","VBN"
"752","dismissed","dismiss","VBD"
"753","dismissed","dismiss","VBN"
"754","dispatched","dispatch","VBD"
"755","dispatched","dispatch","VBN"
"756","dispelled","dispel","VBD"
"757","displaced","displace","VBN"
"758","displayed","display","VBD"
"759","displayed","display","VBN"
"760","disposed","dispose","VBD"
"761","disposed","dispose","VBN"
"762","disputed","dispute","VBD"
"763","disputed","dispute","VBN"
"764","disregarded","disregard","VBD"
"765","disrupted","disrupt","VBD"
"766","disrupted","disrupt","VBN"
"767","dissatisfied","dissatisfy","VBN"
"768","dissented","dissent","VBD"
"769","dissented","dissent","VBN"
"770","dissolved","dissolve","VBN"
"771","distilled","distil","VBN"
"772","distinguished","distinguish","VBD"
"773","distinguished","distinguish","VBN"
"774","distorted","distort","VBN"
"775","distracted","distract","VBD"
"776","distracted","distract","VBN"
"777","distributed","distribute","VBD"
"778","distributed","distribute","VBN"
"779","disturbed","disturb","VBN"
"780","dived","dive","VBD"
"781","diversified","diversify","VBN"
"782","diverted","divert","VBN"
"783","divested","divest","VBD"
"784","divided","divide","VBD"
"785","divided","divide","VBN"
"786","divorced","divorce","VBD"
"787","divorced","divorce","VBN"
"788","documented","document","VBN"
"789","dogged","dog","VBD"
"790","dogged","dog","VBN"
"791","dominated","dominate","VBD"
"792","dominated","dominate","VBN"
"793","donated","donate","VBD"
"794","donated","donate","VBN"
"795","done","do","VBN"
"796","doomed","doom","VBD"
"797","doomed","doom","VBN"
"798","doubled","double","VBD"
"799","doubled","double","VBN"
"800","doubted","doubt","VBD"
"801","downgraded","downgrade","VBD"
"802","downgraded","downgrade","VBN"
"803","downplayed","downplay","VBD"
"804","drafted","draft","VBD"
"805","drafted","draft","VBN"
"806","dragged","drag","VBD"
"807","dragged","drag","VBN"
"808","drained","drain","VBN"
"809","drawn","draw","VBN"
"810","dreaded","dread","VBN"
"811","dreamed","dream","VBD"
"812","dreamed","dream","VBN"
"813","dressed","dress","VBD"
"814","dressed","dress","VBN"
"815","drew","draw","VBD"
"816","dried","dry","VBD"
"817","dried","dry","VBN"
"818","drifted","drift","VBD"
"819","drilled","drill","VBD"
"820","drilled","drill","VBN"
"821","driven","drive","VBN"
"822","dropped","drop","VBD"
"823","dropped","drop","VBN"
"824","drove","drive","VBD"
"825","drowned","drown","VBD"
"826","drowned","drown","VBN"
"827","dubbed","dub","VBD"
"828","dubbed","dub","VBN"
"829","dug","dig","VBD"
"830","dulled","dull","VBN"
"831","dumped","dump","VBD"
"832","dumped","dump","VBN"
"833","duplicated","duplicate","VBN"
"834","dwindled","dwindle","VBD"
"835","earmarked","earmark","VBD"
"836","earmarked","earmark","VBN"
"837","earned","earn","VBD"
"838","earned","earn","VBN"
"839","eased","ease","VBD"
"840","eased","ease","VBN"
"841","eaten","eat","VBN"
"842","echoed","echo","VBD"
"843","echoed","echo","VBN"
"844","edged","edge","VBD"
"845","edged","edge","VBN"
"846","educated","educate","VBN"
"847","elected","elect","VBD"
"848","elected","elect","VBN"
"849","electrogalvanized","electrogalvanize","VBN"
"850","elevated","elevate","VBD"
"851","eliminated","eliminate","VBD"
"852","eliminated","eliminate","VBN"
"853","eluded","elude","VBD"
"854","embarked","embark","VBD"
"855","embarked","embark","VBN"
"856","embarrassed","embarrass","VBD"
"857","embarrassed","embarrass","VBN"
"858","embodied","embody","VBN"
"859","embraced","embrace","VBD"
"860","embraced","embrace","VBN"
"861","embroiled","embroil","VBN"
"862","emerged","emerge","VBD"
"863","emerged","emerge","VBN"
"864","emphasized","emphasize","VBD"
"865","emphasized","emphasize","VBN"
"866","employed","employ","VBN"
"867","enabled","enable","VBD"
"868","enabled","enable","VBN"
"869","enacted","enact","VBD"
"870","enacted","enact","VBN"
"871","enclosed","enclose","VBN"
"872","encountered","encounter","VBD"
"873","encountered","encounter","VBN"
"874","encouraged","encourage","VBD"
"875","encouraged","encourage","VBN"
"876","endangered","endanger","VBN"
"877","ended","end","VBD"
"878","ended","end","VBN"
"879","endorsed","endorse","VBD"
"880","endorsed","endorse","VBN"
"881","endowed","endow","VBD"
"882","endowed","endow","VBN"
"883","endured","endure","VBD"
"884","endured","endure","VBN"
"885","enforced","enforce","VBN"
"886","engaged","engage","VBD"
"887","engaged","engage","VBN"
"888","engineered","engineer","VBN"
"889","engulfed","engulf","VBD"
"890","engulfed","engulf","VBN"
"891","enhanced","enhance","VBD"
"892","enhanced","enhance","VBN"
"893","enjoined","enjoin","VBD"
"894","enjoined","enjoin","VBN"
"895","enjoyed","enjoy","VBD"
"896","enjoyed","enjoy","VBN"
"897","enlisted","enlist","VBD"
"898","entered","enter","VBD"
"899","entered","enter","VBN"
"900","entertained","entertain","VBD"
"901","entertained","entertain","VBN"
"902","entitled","entitle","VBD"
"903","entitled","entitle","VBN"
"904","entombed","entomb","VBN"
"905","entrenched","entrench","VBN"
"906","entwined","entwine","VBN"
"907","envisaged","envisage","VBD"
"908","envisaged","envisage","VBN"
"909","envisioned","envision","VBN"
"910","equaled","equal","VBD"
"911","equaled","equal","VBN"
"912","equipped","equip","VBD"
"913","equipped","equip","VBN"
"914","erased","erase","VBD"
