,WORD,LEMMA,XPOS,0
133,argued,argue,VBN,11
134,arisen,arise,VBN,2
135,armed,arm,VBN,6
136,arose,arise,VBD,7
137,aroused,arouse,VBD,1
138,aroused,arouse,VBN,5
139,arranged,arrange,VBD,10
140,arranged,arrange,VBN,10
141,arrested,arrest,VBN,18
142,arrived,arrive,VBD,12
143,arrived,arrive,VBN,7
144,asked,ask,VBD,116
145,asked,ask,VBN,58
146,assailed,assail,VBD,2
147,assailed,assail,VBN,1
148,assembled,assemble,VBD,4
149,assembled,assemble,VBN,9
150,asserted,assert,VBD,15
151,asserted,assert,VBN,1
152,assessed,assess,VBD,2
153,assessed,assess,VBN,4
154,assigned,assign,VBN,17
155,assisted,assist,VBN,6
156,associated,associate,VBN,53
157,assumed,assume,VBD,14
158,assumed,assume,VBN,13
159,assured,assure,VBD,3
160,assured,assure,VBN,12
161,ate,eat,VBD,2
162,attached,attach,VBD,5
163,attached,attach,VBN,24
164,attacked,attack,VBD,3
165,attacked,attack,VBN,9
166,attempted,attempt,VBD,7
167,attempted,attempt,VBN,9
168,attended,attend,VBD,18
169,attended,attend,VBN,4
170,attracted,attract,VBD,13
171,attracted,attract,VBN,14
172,attributed,attribute,VBD,57
173,attributed,attribute,VBN,20
174,auctioned,auction,VBD,3
175,auctioned,auction,VBN,8
176,audited,audit,VBD,1
177,audited,audit,VBN,1
178,authorized,authorize,VBD,16
179,authorized,authorize,VBN,14
180,autographed,autograph,VBN,2
181,automated,automate,VBN,6
182,averaged,average,VBD,19
183,averaged,average,VBN,4
184,avoided,avoid,VBD,5
185,avoided,avoid,VBN,12
186,awaited,await,VBD,5
187,awarded,award,VBD,24
188,awarded,award,VBN,20
189,backed,back,VBD,23
190,backed,back,VBN,61
191,backfired,backfire,VBD,1
192,backfired,backfire,VBN,2
193,bailed,bail,VBD,3
194,balanced,balance,VBN,3
195,balked,balk,VBD,9
196,ballooned,balloon,VBD,1
197,ballooned,balloon,VBN,1
198,banished,banish,VBN,2
199,banned,ban,VBD,8
200,banned,ban,VBN,15
201,barred,bar,VBD,4
202,barred,bar,VBN,15
203,based,base,VBD,3
204,based,base,VBN,391
205,battered,batter,VBD,1
206,battered,batter,VBN,14
207,battled,battle,VBD,4
208,battled,battle,VBN,1
209,beat,beat,VBD,7
210,beaten,beat,VBN,7
211,became,become,VBD,129
212,become,become,VBD,1
213,become,become,VBN,107
214,beefed,beef,VBD,2
215,beefed,beef,VBN,1
216,been,be,VBN,1966
217,began,begin,VBD,261
218,begun,begin,VBN,49
219,behaved,behave,VBD,7
220,behaved,behave,VBN,1
221,beleaguered,beleaguer,VBN,1
222,believed,believe,VBD,35
223,believed,believe,VBN,44
224,belonged,belong,VBD,2
225,benefited,benefit,VBD,14
226,benefited,benefit,VBN,9
227,beset,beset,VBN,2
228,besieged,besiege,VBN,6
229,bested,best,VBD,1
230,bested,best,VBN,2
231,bestowed,bestow,VBN,3
232,bet,bet,VBD,4
233,bet,bet,VBN,1
234,bid,bid,VBD,16
235,bid,bid,VBN,10
236,billed,bill,VBD,3
237,billed,bill,VBN,5
238,blackened,blacken,VBN,3
239,blamed,blame,VBD,16
240,blamed,blame,VBN,19
241,blasted,blast,VBD,2
242,blessed,bless,VBN,2
243,blew,blow,VBD,5
244,blocked,block,VBD,5
245,blocked,block,VBN,8
246,blossomed,blossom,VBD,1
247,blossomed,blossom,VBN,1
248,blown,blow,VBN,3
249,blundered,blunder,VBD,2
250,blunted,blunt,VBD,1
251,blunted,blunt,VBN,3
252,boasted,boast,VBD,3
253,boasted,boast,VBN,2
254,bogged,bog,VBD,3
255,bolstered,bolster,VBD,2
256,bolstered,bolster,VBN,13
257,bolted,bolt,VBN,2
258,bombarded,bombard,VBD,2
259,bombarded,bombard,VBN,1
260,bombed,bomb,VBD,1
261,bombed,bomb,VBN,2
262,booked,book,VBD,2
263,booked,book,VBN,5
264,boomed,boom,VBD,1
265,boomed,boom,VBN,1
266,boosted,boost,VBD,32
267,boosted,boost,VBN,26
268,bore,bear,VBD,4
269,bored,bore,VBN,3
270,born,bear,VBN,19
271,borne,bear,VBN,2
272,borrowed,borrow,VBD,6
273,borrowed,borrow,VBN,23
274,botched,botch,VBN,2
275,bothered,bother,VBD,3
276,bothered,bother,VBN,6
277,bottled,bottle,VBN,1
278,bottomed,bottom,VBD,1
279,bottomed,bottom,VBN,2
280,bought,buy,VBD,122
281,bought,buy,VBN,63
282,bounced,bounce,VBD,10
283,bound,bind,VBN,10
284,bowed,bow,VBD,6
285,braced,brace,VBD,1
286,braced,brace,VBN,2
287,breached,breach,VBD,1
288,breached,breach,VBN,1
289,breathed,breathe,VBD,4
290,bred,breed,VBD,2
291,bred,breed,VBN,2
292,bribed,bribe,VBD,5
293,bribed,bribe,VBN,2
294,broadcast,broadcast,VBD,3
295,broadcast,broadcast,VBN,6
296,broadened,broaden,VBD,2
297,broadened,broaden,VBN,1
298,broke,break,VBD,36
299,broken,break,VBN,25
300,brought,bring,VBD,51
301,brought,bring,VBN,58
302,brushed,brush,VBD,4
303,brushed,brush,VBN,3
304,bucked,buck,VBD,2
305,bucked,buck,VBN,1
306,buckled,buckle,VBD,1
307,budged,budge,VBD,1
308,budged,budge,VBN,2
309,budgeted,budget,VBN,5
310,buffeted,buffet,VBN,3
311,build,build,VBN,1
312,built,build,VBD,18
313,built,build,VBN,90
314,bumped,bump,VBD,1
315,bumped,bump,VBN,1
316,bundled,bundle,VBN,2
317,buoyed,buoy,VBD,2
318,buoyed,buoy,VBN,11
319,burdened,burden,VBD,1
320,burdened,burden,VBN,4
321,buried,bury,VBD,1
322,buried,bury,VBN,8
323,burned,burn,VBD,2
324,burned,burn,VBN,8
325,burnt,burn,VBN,1
326,burst,burst,VBD,1
327,busted,bust,VBD,1
328,busted,bust,VBN,1
329,buttressed,buttress,VBN,2
330,calculated,calculate,VBD,1
331,calculated,calculate,VBN,26
332,called,call,VBD,169
333,called,call,VBN,185
334,came,come,VBD,243
335,canceled,cancel,VBD,8
336,canceled,cancel,VBN,24
337,canned,can,VBN,2
338,capitalized,capitalize,VBD,1
339,capitalized,capitalize,VBN,6
340,capped,cap,VBD,17
341,capped,cap,VBN,11
342,captured,capture,VBD,1
343,captured,capture,VBN,12
344,cared,care,VBD,2
345,cared,care,VBN,1
346,carried,carry,VBD,29
347,carried,carry,VBN,18
348,carved,carve,VBD,1
349,carved,carve,VBN,2
350,cashed,cash,VBD,1
351,cashed,cash,VBN,2
352,cast,cast,VBD,9
353,cast,cast,VBN,9
354,categorized,categorize,VBN,2
355,caught,catch,VBD,14
356,caught,catch,VBN,35
357,caused,cause,VBD,65
358,caused,cause,VBN,73
359,cautioned,caution,VBD,14
360,caved,cave,VBD,2
361,ceased,cease,VBD,3
362,ceased,cease,VBN,1
363,ceded,cede,VBD,1
364,ceded,cede,VBN,1
365,celebrated,celebrate,VBD,2
366,censored,censor,VBN,3
367,centered,center,VBD,3
368,centered,center,VBN,3
369,certified,certify,VBN,2
370,chaired,chair,VBD,2
371,chaired,chair,VBN,2
372,challenged,challenge,VBD,5
373,challenged,challenge,VBN,11
374,championed,champion,VBD,1
375,championed,champion,VBN,1
376,changed,change,VBD,46
377,changed,change,VBN,72
378,chanted,chant,VBD,3
379,chanted,chant,VBN,1
380,characterized,characterize,VBD,4
381,characterized,characterize,VBN,5
382,charged,charge,VBD,16
383,charged,charge,VBN,54
384,chartered,charter,VBD,2
385,chartered,charter,VBN,3
386,cheated,cheat,VBD,2
387,checked,check,VBD,1
388,checked,check,VBN,2
389,cheered,cheer,VBD,5
390,cheered,cheer,VBN,3
391,cherished,cherish,VBN,3
392,chided,chide,VBD,1
393,chided,chide,VBN,1
394,choked,choke,VBD,1
395,choked,choke,VBN,1
396,chose,choose,VBD,20
397,chosen,choose,VBN,23
398,circulated,circulate,VBD,4
399,circulated,circulate,VBN,4
400,cited,cite,VBD,66
401,cited,cite,VBN,19
402,clad,clothe,VBN,1
403,claimed,claim,VBD,27
404,claimed,claim,VBN,14
405,clashed,clash,VBD,1
406,clashed,clash,VBN,2
407,classified,classify,VBD,1
408,classified,classify,VBN,6
409,cleaned,clean,VBD,2
410,cleaned,clean,VBN,3
411,cleared,clear,VBD,14
412,cleared,clear,VBN,13
413,climbed,climb,VBD,84
414,climbed,climb,VBN,8
415,clobbered,clobber,VBD,1
416,clobbered,clobber,VBN,6
417,clogged,clog,VBN,2
418,closed,close,VBD,351
419,closed,close,VBN,68
420,clouded,cloud,VBN,1
421,clustered,cluster,VBN,2
422,co-founded,co-found,VBD,4
423,co-sponsored,co-sponsor,VBN,1
424,coated,coat,VBN,2
425,collaborated,collaborate,VBD,3
426,collapsed,collapse,VBD,28
427,collapsed,collapse,VBN,11
428,collateralized,collateralize,VBN,2
429,collected,collect,VBD,3
430,collected,collect,VBN,9
431,colored,color,VBN,4
432,combined,combine,VBD,3
433,combined,combine,VBN,49
434,come,come,VBD,6
435,come,come,VBN,67
436,commented,comment,VBD,3
437,commissioned,commission,VBD,2
438,commissioned,commission,VBN,6
439,committed,commit,VBD,4
440,committed,commit,VBN,30
441,compacted,compact,VBN,1
442,compared,compare,VBD,7
443,compared,compare,VBN,323
444,compelled,compel,VBN,7
445,compiled,compile,VBN,21
446,complained,complain,VBD,31
447,complained,complain,VBN,10
448,completed,complete,VBD,54
449,completed,complete,VBN,103
450,complicated,complicate,VBD,1
451,complicated,complicate,VBN,12
452,complied,comply,VBD,1
453,complied,comply,VBN,3
454,composed,compose,VBN,8
455,compounded,compound,VBD,2
456,compounded,compound,VBN,5
457,compromised,compromise,VBN,3
458,computerized,computerize,VBN,4
459,conceded,concede,VBD,22
460,conceded,concede,VBN,3
461,conceived,conceive,VBD,1
462,conceived,conceive,VBN,1
463,concentrated,concentrate,VBD,6
464,concentrated,concentrate,VBN,9
465,concerned,concern,VBD,2
466,concerned,concern,VBN,45
467,concluded,conclude,VBD,33
468,concluded,conclude,VBN,17
469,concocted,concoct,VBN,2
470,concurred,concur,VBD,2
471,condemned,condemn,VBD,2
472,condemned,condemn,VBN,3
473,conditioned,condition,VBN,5
474,conducted,conduct,VBD,5
475,conducted,conduct,VBN,27
476,confessed,confess,VBD,5
477,confessed,confess,VBN,1
478,confided,confide,VBD,3
479,confined,confine,VBN,7
480,confirmed,confirm,VBD,39
481,confirmed,confirm,VBN,17
482,confiscated,confiscate,VBD,2
483,confiscated,confiscate,VBN,6
484,confronted,confront,VBN,4
485,confused,confuse,VBD,1
486,confused,confuse,VBN,6
487,congratulated,congratulate,VBD,1
488,congratulated,congratulate,VBN,1
489,connected,connect,VBN,17
490,considered,consider,VBD,19
491,considered,consider,VBN,116
492,consisted,consist,VBD,4
493,consisted,consist,VBN,1
494,consolidated,consolidate,VBD,1
495,consolidated,consolidate,VBN,4
496,conspired,conspire,VBD,6
497,constituted,constitute,VBD,2
498,constrained,constrain,VBN,3
499,constructed,construct,VBN,8
500,construed,construe,VBD,1
501,construed,construe,VBN,3
502,consulted,consult,VBN,3
503,consumed,consume,VBD,1
504,consumed,consume,VBN,9
505,consummated,consummate,VBN,3
506,contacted,contact,VBD,2
507,contacted,contact,VBN,6
508,contained,contain,VBD,11
509,contained,contain,VBN,11
510,contaminated,contaminate,VBN,4
511,contemplated,contemplate,VBD,1
512,contemplated,contemplate,VBN,4
513,contended,contend,VBD,15
514,contended,contend,VBN,3
515,contested,contest,VBD,1
516,contested,contest,VBN,4
517,continued,continue,VBD,110
518,continued,continue,VBN,60
519,contracted,contract,VBD,9
520,contracted,contract,VBN,4
521,contrasted,contrast,VBD,1
522,contrasted,contrast,VBN,2
523,contributed,contribute,VBD,84
524,contributed,contribute,VBN,20
525,controlled,control,VBD,9
526,controlled,control,VBN,51
527,convened,convene,VBD,2
528,convened,convene,VBN,2
529,converted,convert,VBD,4
530,converted,convert,VBN,19
531,conveyed,convey,VBD,2
532,convicted,convict,VBD,5
533,convicted,convict,VBN,28
534,convinced,convince,VBD,1
535,convinced,convince,VBN,14
536,convoluted,convolute,VBN,1
537,cooked,cook,VBN,3
538,cooled,cool,VBD,2
539,cooled,cool,VBN,6
540,cooperated,cooperate,VBD,2
541,cooperated,cooperate,VBN,1
542,coordinated,coordinate,VBN,3
543,copied,copy,VBD,1
544,copied,copy,VBN,2
545,copyrighted,copyright,VBN,3
546,cornered,corner,VBN,2
547,corrected,correct,VBD,1
548,corrected,correct,VBN,9
549,cost,cost,VBD,16
550,cost,cost,VBN,7
551,costumed,costume,VBN,2
552,coughed,cough,VBD,1
553,coughed,cough,VBN,1
554,counted,count,VBD,1
555,counted,count,VBN,18
556,countered,counter,VBD,4
557,countered,counter,VBN,1
558,coupled,couple,VBN,10
559,courted,court,VBD,1
560,courted,court,VBN,2
561,covered,cover,VBD,7
562,covered,cover,VBN,41
563,coveted,covet,VBN,1
564,cracked,crack,VBD,2
565,cracked,crack,VBN,3
566,crafted,craft,VBD,1
567,crafted,craft,VBN,4
568,crashed,crash,VBD,3
569,created,create,VBD,37
570,created,create,VBN,90
571,credited,credit,VBD,6
572,credited,credit,VBN,7
573,crept,creep,VBD,1
574,crept,creep,VBN,1
575,crippled,cripple,VBN,4
576,criticized,criticize,VBD,14
577,criticized,criticize,VBN,22
578,crossed,cross,VBD,3
579,crossed,cross,VBN,5
580,crowded,crowd,VBD,2
581,crowded,crowd,VBN,9
582,crumbled,crumble,VBD,2
583,crumbled,crumble,VBN,1
584,crumpled,crumple,VBD,1
585,crumpled,crumple,VBN,1
586,crushed,crush,VBN,4
587,curbed,curb,VBD,1
588,curbed,curb,VBN,3
589,curtailed,curtail,VBD,2
590,curtailed,curtail,VBN,5
591,customized,customize,VBN,3
592,cut,cut,VBD,48
593,cut,cut,VBN,58
594,damaged,damage,VBD,6
595,damaged,damage,VBN,44
596,damped,damp,VBN,1
597,dashed,dash,VBD,1
598,dashed,dash,VBN,6
599,dated,date,VBN,15
600,dead,dead,VBN,1
601,deadlocked,deadlock,VBN,2
602,dealt,deal,VBD,2
603,dealt,deal,VBN,6
604,deceased,decease,VBN,1
605,decentralized,decentralize,VBN,1
606,decided,decide,VBD,79
607,decided,decide,VBN,30
608,declared,declare,VBD,44
609,declared,declare,VBN,12
610,declined,decline,VBD,281
611,declined,decline,VBN,23
612,decorated,decorate,VBN,4
613,decreased,decrease,VBD,6
614,decreased,decrease,VBN,3
615,decreed,decree,VBN,2
616,dedicated,dedicate,VBD,1
617,dedicated,dedicate,VBN,7
618,deemed,deem,VBD,2
619,deemed,deem,VBN,8
620,defaulted,default,VBD,4
621,defaulted,default,VBN,2
622,defeated,defeat,VBD,4
623,defeated,defeat,VBN,10
624,defended,defend,VBD,14
625,defended,defend,VBN,3
626,deferred,defer,VBN,4
627,defied,defy,VBD,3
628,defined,define,VBD,3
629,defined,define,VBN,15
630,deflated,deflate,VBD,1
631,deflated,deflate,VBN,2
632,defrauded,defraud,VBD,2
633,defrauded,defraud,VBN,2
634,degenerated,degenerate,VBD,1
635,degenerated,degenerate,VBN,1
636,delayed,delay,VBD,6
637,delayed,delay,VBN,27
638,deleted,delete,VBN,3
639,delighted,delight,VBD,1
640,delighted,delight,VBN,1
641,delivered,deliver,VBD,3
642,delivered,deliver,VBN,33
643,demanded,demand,VBD,13
644,demanded,demand,VBN,4
645,demolished,demolish,VBD,1
646,demolished,demolish,VBN,2
647,demonstrated,demonstrate,VBD,5
648,demonstrated,demonstrate,VBN,6
649,demoted,demote,VBN,2
650,denied,deny,VBD,32
651,denied,deny,VBN,21
652,denominated,denominate,VBN,2
653,denounced,denounce,VBD,5
654,denounced,denounce,VBN,2
655,departed,depart,VBD,2
656,depended,depend,VBD,5
657,depended,depend,VBN,2
658,depicted,depict,VBN,5
659,depleted,deplete,VBD,1
660,depleted,deplete,VBN,3
661,deployed,deploy,VBD,1
662,deployed,deploy,VBN,6
663,deposed,depose,VBN,2
664,depressed,depress,VBD,3
665,depressed,depress,VBN,14
666,deprived,deprive,VBD,1
667,deprived,deprive,VBN,6
668,derided,deride,VBD,1
669,derided,deride,VBN,1
670,derived,derive,VBD,1
671,derived,derive,VBN,8
672,described,describe,VBD,27
673,described,describe,VBN,23
674,designated,designate,VBN,13
675,designed,design,VBD,6
676,designed,design,VBN,105
677,desired,desire,VBD,1
678,desired,desire,VBN,4
679,destined,destine,VBN,2
680,destroyed,destroy,VBD,4
681,destroyed,destroy,VBN,8
682,detailed,detail,VBN,11
683,detained,detain,VBD,2
684,detained,detain,VBN,1
685,detected,detect,VBD,6
686,detected,detect,VBN,4
687,deteriorated,deteriorate,VBD,1
688,deteriorated,deteriorate,VBN,5
689,determined,determine,VBD,9
690,determined,determine,VBN,46
691,devalued,devalue,VBD,1
692,devalued,devalue,VBN,2
693,devastated,devastate,VBD,1
694,devastated,devastate,VBN,2
695,developed,develop,VBD,32
696,developed,develop,VBN,59
697,devised,devise,VBD,3
698,devised,devise,VBN,7
699,devoted,devote,VBD,1
700,devoted,devote,VBN,8
701,diagnosed,diagnose,VBD,2
702,diagnosed,diagnose,VBN,2
703,dictated,dictate,VBD,1
704,dictated,dictate,VBN,2
705,did,do,VBD,743
706,died,die,VBD,34
707,died,die,VBN,7
708,diluted,dilute,VBD,2
709,diluted,dilute,VBN,18
710,diminished,diminish,VBD,1
711,diminished,diminish,VBN,15
712,dined,dine,VBD,1
713,dined,dine,VBN,1
714,dipped,dip,VBD,9
715,dipped,dip,VBN,1
716,directed,direct,VBD,5
717,directed,direct,VBN,7
718,disabled,disable,VBN,1
719,disagreed,disagree,VBD,6
720,disagreed,disagree,VBN,1
721,disappeared,disappear,VBD,7
722,disappeared,disappear,VBN,1
723,disappointed,disappoint,VBD,1
724,disappointed,disappoint,VBN,17
725,disapproved,disapprove,VBD,1
726,disapproved,disapprove,VBN,4
727,disbursed,disburse,VBN,2
728,discarded,discard,VBD,1
729,discarded,discard,VBN,6
730,disciplined,discipline,VBD,1
731,disciplined,discipline,VBN,8
732,disclosed,disclose,VBD,54
733,disclosed,disclose,VBN,95
734,discontinued,discontinue,VBN,24
735,discounted,discount,VBD,3
736,discounted,discount,VBN,8
737,discouraged,discourage,VBD,1
738,discouraged,discourage,VBN,6
739,discovered,discover,VBD,25
740,discovered,discover,VBN,29
741,discredited,discredit,VBN,3
742,discussed,discuss,VBD,6
743,discussed,discuss,VBN,23
744,disenchanted,disenchant,VBN,1
745,disgruntled,disgruntle,VBN,2
746,disguised,disguise,VBN,4
747,disgusted,disgust,VBN,1
748,disinclined,disincline,VBN,1
749,dismantled,dismantle,VBN,3
750,dismayed,dismay,VBN,2
751,dismissed,dismiss,VBD,14
752,dismissed,dismiss,VBN,15
753,dispatched,dispatch,VBD,5
754,dispatched,dispatch,VBN,4
755,dispelled,dispel,VBD,2
756,displaced,displace,VBN,3
757,displayed,display,VBD,5
758,displayed,display,VBN,5
759,disposed,dispose,VBD,1
760,disposed,dispose,VBN,2
761,disputed,dispute,VBD,5
762,disputed,dispute,VBN,10
763,disregarded,disregard,VBD,2
764,disrupted,disrupt,VBD,5
765,disrupted,disrupt,VBN,7
766,dissatisfied,dissatisfy,VBN,2
767,dissented,dissent,VBD,1
768,dissented,dissent,VBN,1
769,dissolved,dissolve,VBN,3
770,distilled,distil,VBN,3
771,distinguished,distinguish,VBD,3
772,distinguished,distinguish,VBN,1
773,distorted,distort,VBN,4
774,distracted,distract,VBD,1
775,distracted,distract,VBN,3
776,distributed,distribute,VBD,2
777,distributed,distribute,VBN,29
778,disturbed,disturb,VBN,3
779,dived,dive,VBD,2
780,diversified,diversify,VBN,6
781,diverted,divert,VBN,12
782,divested,divest,VBD,1
783,divided,divide,VBD,2
784,divided,divide,VBN,34
785,divorced,divorce,VBD,1
786,divorced,divorce,VBN,4
787,documented,document,VBN,4
788,dogged,dog,VBD,1
789,dogged,dog,VBN,4
790,dominated,dominate,VBD,10
791,dominated,dominate,VBN,15
792,donated,donate,VBD,4
793,donated,donate,VBN,11
794,done,do,VBN,138
795,doomed,doom,VBD,1
796,doomed,doom,VBN,4
797,doubled,double,VBD,26
798,doubled,double,VBN,13
799,doubted,doubt,VBD,4
800,downgraded,downgrade,VBD,11
801,downgraded,downgrade,VBN,1
802,downplayed,downplay,VBD,3
803,drafted,draft,VBD,3
804,drafted,draft,VBN,7
805,dragged,drag,VBD,4
806,dragged,drag,VBN,6
807,drained,drain,VBN,2
808,drawn,draw,VBN,20
809,dreaded,dread,VBN,2
810,dreamed,dream,VBD,2
811,dreamed,dream,VBN,2
812,dressed,dress,VBD,1
813,dressed,dress,VBN,7
814,drew,draw,VBD,23
815,dried,dry,VBD,4
816,dried,dry,VBN,2
817,drifted,drift,VBD,9
818,drilled,drill,VBD,1
819,drilled,drill,VBN,4
820,driven,drive,VBN,22
821,dropped,drop,VBD,208
822,dropped,drop,VBN,38
823,drove,drive,VBD,19
824,drowned,drown,VBD,1
825,drowned,drown,VBN,1
826,dubbed,dub,VBD,3
827,dubbed,dub,VBN,14
828,dug,dig,VBD,2
829,dulled,dull,VBN,2
830,dumped,dump,VBD,17
831,dumped,dump,VBN,9
832,duplicated,duplicate,VBN,2
833,dwindled,dwindle,VBD,3
834,earmarked,earmark,VBD,1
835,earmarked,earmark,VBN,9
836,earned,earn,VBD,108
837,earned,earn,VBN,20
838,eased,ease,VBD,31
839,eased,ease,VBN,2
840,eaten,eat,VBN,4
841,echoed,echo,VBD,1
842,echoed,echo,VBN,3
843,edged,edge,VBD,21
844,edged,edge,VBN,2
845,educated,educate,VBN,6
846,elected,elect,VBD,11
847,elected,elect,VBN,72
848,electrogalvanized,electrogalvanize,VBN,1
849,elevated,elevate,VBD,2
850,eliminated,eliminate,VBD,9
851,eliminated,eliminate,VBN,19
852,eluded,elude,VBD,2
853,embarked,embark,VBD,1
854,embarked,embark,VBN,1
855,embarrassed,embarrass,VBD,1
856,embarrassed,embarrass,VBN,2
857,embodied,embody,VBN,3
858,embraced,embrace,VBD,4
859,embraced,embrace,VBN,8
860,embroiled,embroil,VBN,4
861,emerged,emerge,VBD,19
862,emerged,emerge,VBN,4
863,emphasized,emphasize,VBD,10
864,emphasized,emphasize,VBN,1
865,employed,employ,VBN,22
866,enabled,enable,VBD,6
867,enabled,enable,VBN,3
868,enacted,enact,VBD,1
869,enacted,enact,VBN,19
870,enclosed,enclose,VBN,3
871,encountered,encounter,VBD,7
872,encountered,encounter,VBN,2
873,encouraged,encourage,VBD,6
874,encouraged,encourage,VBN,24
875,endangered,endanger,VBN,6
876,ended,end,VBD,218
877,ended,end,VBN,166
878,endorsed,endorse,VBD,8
879,endorsed,endorse,VBN,8
880,endowed,endow,VBD,1
881,endowed,endow,VBN,1
882,endured,endure,VBD,3
883,endured,endure,VBN,1
884,enforced,enforce,VBN,2
885,engaged,engage,VBD,8
886,engaged,engage,VBN,24
887,engineered,engineer,VBN,15
888,engulfed,engulf,VBD,1
889,engulfed,engulf,VBN,2
890,enhanced,enhance,VBD,1
891,enhanced,enhance,VBN,11
892,enjoined,enjoin,VBD,1
893,enjoined,enjoin,VBN,4
894,enjoyed,enjoy,VBD,6
895,enjoyed,enjoy,VBN,9
896,enlisted,enlist,VBD,2
897,entered,enter,VBD,30
898,entered,enter,VBN,24
899,entertained,entertain,VBD,1
900,entertained,entertain,VBN,1
901,entitled,entitle,VBD,1
902,entitled,entitle,VBN,9
903,entombed,entomb,VBN,2
904,entrenched,entrench,VBN,4
905,entwined,entwine,VBN,2
906,envisaged,envisage,VBD,2
907,envisaged,envisage,VBN,1
908,envisioned,envision,VBN,3
909,equaled,equal,VBD,1
910,equaled,equal,VBN,1
911,equipped,equip,VBD,1
912,equipped,equip,VBN,7
913,erased,erase,VBD,3
